X,Y,OBJECTID,STATUS,NAME,ACISA,ISNUM,INT_,STAGE,N7,SECT,COMMCAB,COMMLINE,SWITCH,FDRPAIR,VPAIR,TRUNK,TRNKPAIR,DIST,DISTPAIR,SUBFEED,SUBFEEDPR,CHANNUM,COMMENTS,REVNUM,CONT_TYPE,SPACE_,B,TSNUM,QUICNETID
-76.981483317440976,38.899815843910432,898,M,"BENNING RD AND 16TH ST, NE",4056,605,605,2, ,337,12-F07N,357,6,"PR(01,02)",12,100-T07,"PR(65,66)", , , , ,27, ,2,ACTUATED, , ,1512,633
-76.972170404226446,38.89816033168956,899,M,"BENNING RD AND 24TH ST, NE",4057,606,606,2, ,337,12-F07N,358,2,"PR(03,04)",12,100-T07,"PR(67,68)", , , , ,28, ,1,ACTUATED, , ,1315,634
-76.970410671898733,38.897851290722215,900,M,"BENNING RD AND 26TH ST, NE",4058,607,607,2, ,337,12-F07N,358,3,"PR(03,04)",12,100-T07,"PR(67,68)", , , , ,28, ,2,ACTUATED, , ,1282,635
-76.957497077707089,38.896545102011814,901,M,"BENNING RD AND 34TH ST, NE",4059,982,982,4, ,455,12-F07P,417,1,"PR(01,02)",12,100-T07,"PR(76,77)",50-D07,"PR(01,02)", , ,29, ,4,INTERVAL, , , ,813
-76.954804824104457,38.896103267036686,902,M,"BENNING RD AND 36TH ST EAST, NE",4060,983,983,4, ,455,12-F07P,417,2,"PR(01,02)",12,100-T07,"PR(76,77)",50-D07,"PR(01,02)", , ,29, ,0,INTERVAL, , , ,814
-76.954804824104457,38.896103267036686,903,M,"BENNING RD AND 36TH ST WEST, NE",4061,1117,1117,4, ,455,12-F07P,417,6,"PR(01,02)",12,100-T07,"PR(76,77)",50-D07,"PR(01,02)", , ,29, ,0,ACTUATED, , , ,940
-76.942613214296316,38.892946795165813,904,M,"BENNING RD AND 42ND ST, NE",4062,984,984,4, ,456,25-F07R,421,1,"PR(01,02)",25,100-T07,"PR(84,85)",50-D07,"PR(09,10)",25-F07R,"PR(01,02)",33, ,0,INTERVAL, , , ,815
-76.939207941304659,38.891534811605794,905,M,"BENNING RD AND 44TH ST, NE",4063,985,985,4, ,456,25-F07R,421,2,"PR(01,02)",25,100-T07,"PR(84,85)",50-D07,"PR(09,10)",25-F07R,"PR(01,02)",33, ,3,INTERVAL, , , ,816
-76.960264051384428,38.896927120814532,906,M,"BENNING RD AND ANACOSTIA AVE, NE",4064,986,986,4, ,455,12-F07P,417,3,"PR(01,02)",12,100-T07,"PR(76,77)",50-D07,"PR(01,02)", , ,29, ,1,ACTUATED, , , ,817
-76.936161935388284,38.886556597244372,907,T,"BENNING RD AND C ST, SE",4065,1025,1025,4, ,456,12-F07T,424,1,"PR(01,02)",12,100-T07,"PR(90,91)",50-D07,"PR(15,16)",25-F07R,"PR(07,08)",36, ,0,INTERVAL, , , ,855
